info: Jul-14-2022 17:05:01: game:research success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","state":"success","attackType":5,"attackLevel":0,"totalPita":889}
info: Jul-14-2022 17:05:02: game:research success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","state":"success","attackType":6,"attackLevel":0,"totalPita":887}
info: Jul-14-2022 17:05:06: game:attack attempt |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"attempnt","attackType":4,"attackLevel":1,"cost":3,"totalPita":884}
info: Jul-14-2022 17:05:09: game:monitoring attack |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":4,"cost":0,"totalPita":984}
info: Jul-14-2022 17:05:09: game:detect black |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":4,"nickname":"q","cost":0,"totalPita":1500}
info: Jul-14-2022 17:05:15: game:attack success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"success","attackType":4,"attackLevel":1,"cost":0,"totalPita":984}
info: Jul-14-2022 17:05:23: game:attack attempt |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"attempnt","attackType":5,"attackLevel":1,"cost":3,"totalPita":1081}
info: Jul-14-2022 17:05:26: game:monitoring attack |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":5,"cost":0,"totalPita":1081}
info: Jul-14-2022 17:05:26: game:detect black |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":5,"nickname":"q","cost":0,"totalPita":1700}
info: Jul-14-2022 17:05:32: game:attack success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"success","attackType":5,"attackLevel":1,"cost":0,"totalPita":1181}
